;bgp;CDG;HND;IAD;LHR;MIA;POA;SYD
48;1xPOA;7.904;0.0;24.698;27.352;19.044;3.645;17.357
49;1xSYD;13.255;0.0;15.052;23.845;25.01;21.344;1.494
50;2xCDG;0.701;0.0;15.44;25.859;16.888;23.019;18.094
51;2xHND;7.353;0.0;15.126;25.106;15.506;19.724;17.185
52;2xIAD;7.034;0.0;14.616;25.023;16.185;19.731;17.41
53;2xLHR;15.836;0.0;20.188;3.028;17.794;23.689;19.465
54;2xMIA;7.684;0.0;16.15;30.332;2.353;20.392;23.089
55;2xPOA;8.231;0.0;24.251;27.585;19.669;2.933;17.332
56;2xSYD;12.146;0.0;15.152;25.296;24.57;21.388;1.447
57;3xCDG;0.622;0.0;15.4;25.834;16.933;22.946;18.265
58;3xHND;7.341;0.0;15.024;25.078;15.41;19.588;17.559
59;3xIAD;7.133;0.0;14.623;25.103;16.047;19.66;17.433
60;3xLHR;15.918;0.0;21.081;1.968;17.809;23.624;19.601
61;3xMIA;7.772;0.0;16.132;30.231;2.33;20.288;23.247
62;3xPOA;8.153;0.0;24.483;27.597;19.453;2.914;17.4
63;3xSYD;12.133;0.0;15.118;25.265;24.644;21.398;1.442
64;4xCDG;0.627;0.0;15.561;25.724;16.813;23.402;17.871
65;4xHND;7.356;0.0;15.628;24.569;15.55;19.739;17.157
66;4xIAD;7.094;0.0;14.62;25.139;16.087;19.733;17.328
67;4xLHR;16.293;0.0;21.363;0.0;18.284;24.559;19.502
68;4xMIA;7.743;0.0;16.091;30.527;2.341;20.364;22.933
69;4xPOA;8.042;0.0;25.767;27.28;18.871;2.962;17.079
70;4xSYD;12.088;0.0;15.734;24.776;24.382;21.571;1.449
71;5xCDG;0.629;0.0;15.426;25.878;16.954;22.979;18.135
72;5xHND;7.313;0.0;15.144;25.152;15.518;19.764;17.11
73;5xIAD;7.154;0.0;14.324;25.636;16.066;19.925;16.895
74;5xLHR;16.2;0.0;21.36;0.0;18.336;24.464;19.64
75;5xMIA;7.77;0.0;16.74;30.034;2.346;20.381;22.729
76;5xPOA;9.061;0.0;23.331;27.621;19.662;2.913;17.411
77;5xSYD;12.156;0.0;15.172;25.287;24.456;21.485;1.445
